AX,AY,AZ
795.24,538.592,15935.92
-259.944,13770.8,8304.144
-195.456,14436.432,7219.168
-142.744,15156.984,5764.264
-216.864,15628.464,4377.688
-296.6,16051.016,2722.336
-431.136,16279.336,1163.336
-503.176,16347.904,397.848
183.6,14261.4,7078.872
158.52,14215.648,7653.48
46.712,14369.36,7376.816
-251.992,14848.528,6400.528
292.992,14467.872,7196.384
269.44,13569.752,8672.128
440.36,12854.296,9666.856
605.792,12329.696,10275.858
666.936,12050.968,10616.256
502.16,11479.232,11211.376
384.272,10756.144,11880.36
453.96,10470.144,12137.024
609.456,9876.472,12601.84
668.248,9333.504,12999.256
727.0,8665.576,13438.616
731.472,8316.6,13662.792
746.704,7748.512,13976.264
557.488,6792.008,14438.464
658.464,6075.424,14751.56
772.04,5595.76,14958.216
736.4,5072.744,15136.68
715.208,4392.984,15349.456
696.8,5070.496,15143.44
755.096,4985.122,15139.936
735.696,4082.224,15432.328
717.728,3632.168,15546.696
672.184,3021.4,15679.896
759.832,2147.28,15829.68
38.416,919.976,15942.112
322.576,685.328,15963.792
735.464,1222.304,15926.952
595.24,1715.792,15852.072
734.576,144.56,15964.672
-241.728,258.464,15965.056
1403.216,361.336,15935.552
1230.36,-622.448,15953.68
1152.216,-1103.696,15903.928
1001.416,-1391.936,15926.792
796.904,-2016.984,15835.408
736.184,-2239.536,15811.304
1121.84,-523.232,15983.712
760.104,-1089.84,15911.04
654.536,-1787.288,15897.432
636.616,-2301.216,15836.2
497.128,-2743.84,15766.856
517.648,-2587.76,15794.368
515.4,-3044.288,15752.176
497.648,-3515.832,15626.936
357.88,-3650.336,15596.256
698.76,-2938.696,15761.576
824.136,-3332.12,15654.52
866.024,-3826.8,15547.0
1031.848,-4711.312,15294.4
590.36,-4420.568,15360.84
517.288,-4810.68,15318.496
633.216,-5392.656,15099.256
702.224,-6113.944,14836.008
866.608,-6880.208,14497.968
918.76,-7656.232,14115.848
671.048,-6851.88,14513.112
589.832,-7549.384,14178.456
616.664,-8217.424,13814.944
801.768,-8607.912,13581.88
682.8,-9271.84,13145.192
721.592,-10038.144,12598.424
660.464,-10965.848,11802.112
548.04,-11687.824,11188.76
629.768,-12191.024,10649.64
704.776,-12585.288,10142.608
741.128,-12993.264,9664.504
712.424,-13958.696,8292.328
681.832,-14257.1,7727.816
717.32,-14657.072,6969.424
750.8,-15024.808,6175.184
701.76,-15320.488,5443.424
636.392,-15745.096,4149.968
629.112,-16096.64,2784.472
590.8,-16276.576,1353.352
622.68,-16273.104,1431.88
384.552,-16284.696,-1643.472
354.728,-16047.096,-3453.856
321.248,-15801.912,-4561.888
388.312,-15097.32,-6539.956
380.432,-14316.264,-8207.32
348.104,-14727.576,-7397.584
376.464,-14227.616,-8456.44
480.888,-13790.456,-9119.912
328.576,-12618.584,-10721.376
68.2,-10858.32,-12601.904
176.776,-10167.736,-13208.776
165.464,-9775.888,-13468.488
68.544,-8770.168,-14130.2
90.256,-6799.344,-15230.824
246.72,-6133.424,-15535.68
144.408,-4847.272,-15981.448
687.984,-3216.416,-16363.736
846.576,-2724.448,-16447.84
824.376,-2687.032,-16447.44
387.152,-1854.544,-16576.6
-158.896,-1241.8,-16661.84
-41.096,-1027.8,-16704.984
-402.968,-781.232,-16723.936
1642.592,2258.384,-16470.384
-164.928,4061.144,-16262.8
-622.664,4429.4,-16181.856
-980.88,4829.024,-16049.664
-1215.928,5209.288,-15918.0
-1258.304,5640.056,-15795.168
862.496,-5816.736,-15631.818
1373.072,4063.504,-15792.136
